Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
Oddworld: Abe's Oddysee New N' Tasty!,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Broken Age,2015.0,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0,PS4
Apotheon,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Two Brothers,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Slender: The Arrival,2015.0,Adventure,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
deep down (Working Title),2020.0,Misc,Capcom,0.0,0.0,0.0,0.0,0.0,PS4
Hotline Miami,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Unfinished Swan,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Human Element,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Whore of the Orient,2020.0,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Cyberpunk 2077,2018.0,Action-Adventure,CD Projekt Red Studio,0.0,0.0,0.0,0.0,0.0,PS4
Final Fantasy (PS4),2020.0,Misc,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
Transistor,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Swapper,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Outlast,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Contrast,2013.0,Misc,Compulsion Games,0.0,0.0,0.0,0.0,0.0,PS4
Guacamelee!,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Carmageddon: Reincarnation,2015.0,Misc,Stainless Games,0.0,0.0,0.0,0.0,0.0,PS4
Rocketbirds 2: Evolution,2020.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Primal Carnage: Genesis,2020.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Doki-Doki Universe,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Hohokum,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
CounterSpy,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
War Thunder,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Warframe,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Banner Saga,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
BADLAND,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Sparkle 2,2016.0,Puzzle,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Daylight,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Peggle 2,2016.0,Puzzle,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Kingdom Hearts III,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
Mercenary Kings,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Secret Ponchos,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Octodad: Dadliest Catch,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Galak-Z,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Ray's the Dead,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Yaiba: Ninja Gaiden Z,2014.0,Misc,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PS4
KickBeat,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Tiny Brains,2016.0,Puzzle,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Stick It to the Man,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Aban Hawkins & the 1001 Spikes,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Home - a Unique Horror Adventure,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Soul Saga,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Pinball Arcade,2013.0,Misc,FarSight Studios,0.0,0.0,0.0,0.0,0.0,PS4
Toukiden: The Age of Demons,2014.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PS4
Reus,2016.0,Strategy,Soedesco,0.0,0.0,0.0,0.0,0.0,PS4
Strider (2014),2014.0,Platform,Capcom,0.0,0.0,0.0,0.0,0.0,PS4
Rogue Legacy,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
EverQuest Next,2019.0,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Project Phoenix,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Defense Grid 2,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Drifter: A Space Trading Game,2016.0,Simulation,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Volume,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Hellraid,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
SteamWorld Dig: A Fistful of Dirt,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Armikrog,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Chasm,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
XING: The Land Beyond,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
There Came an Echo,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Strike Suit Zero,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Basement Crawl,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Velocity 2X,2014.0,Action,Futurlab 1,0.0,0.0,0.0,0.0,0.0,PS4
Helldivers,2015.0,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
RESOGUN,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Everybody's Gone to the Rapture,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Murasaki Baby,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Hotline Miami 2: Wrong Number,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Shadow of the Beast (PS4),2016.0,Action-Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
WonderFlick,2014.0,Misc,Level 5,0.0,0.0,0.0,0.0,0.0,PS4
Monochroma,2014.0,Misc,Nowhere Studios,0.0,0.0,0.0,0.0,0.0,PS4
H-Hour: World's Elite,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
SPORTSFRIENDS,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Unmechanical,2016.0,Puzzle,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Divekick,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Lily Bergamo,2014.0,Misc,GungHo,0.0,0.0,0.0,0.0,0.0,PS4
Valiant Hearts: The Great War,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
OlliOlli,2016.0,Sports,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Switch Galaxy Ultra,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Anomaly 2,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Legend of Raven,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Stealth Inc.,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Night in the Woods,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Tales from the Borderlands,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Kodoku,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Get Even,2015.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Ready to Run,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Worms Battlegrounds,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Assassin's Creed Freedom Cry,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Dungeon Defenders II,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Razor Global Domination Pro TourÊ,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Pavilion,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
forma.8,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
TowerFall,2014.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Gone HomeÊ,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Costume Quest 2,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Pure Chess,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Aztez,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Not a Hero,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
SOMA (2015),2015.0,Misc,Frictional Games,0.0,0.0,0.0,0.0,0.0,PS4
Cult County,2015.0,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0,PS4
Adr1ft,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
R.B.I. Baseball 14,2014.0,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0,PS4
Citizens of Earth,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
H1Z1,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Blue EstateÊ,2014.0,Misc,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,PS4
Road Not Taken,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Source,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Backgammon Blitz,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Hitman GO,2016.0,Puzzle,PS4,0.0,0.0,0.0,0.0,0.0,PS4
MechRunner,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Chainsaw Incident,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Chariot,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Nidhogg,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Ironclad Tactics,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
MouseCraft,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Starwhal: Just the Tip,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Crimsonland,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
VizionEck,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Pure PoolÊ,2014.0,Misc,Triniti Interactive,0.0,0.0,0.0,0.0,0.0,PS4
Without Memory,2016.0,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Firewatch,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Never Alone,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Last Tinker: City of Colors,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Bombshell,2014.0,Misc,3D Realms,0.0,0.0,0.0,0.0,0.0,PS4
Red Goddess,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Forest,2015.0,Action,Endnight Games LtdÊ,0.0,0.0,0.0,0.0,0.0,PS4
Fenix Rage,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
EarthNight,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
One Way Trip,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Shiness: The Lightning Kingdom,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Aaru's Awakening,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Falling Skies: The GameÊ,2015.0,Role-Playing,Little Orbit,0.0,0.0,0.0,0.0,0.0,PS4
Onigiri,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Loadout,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Entwined,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
EA Sports PGA Tour,2015.0,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0,PS4
Dead Island 2,2017.0,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0,PS4
Magicka 2,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Broforce,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Inside,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Blast 'Em Bunnies,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Woah Dave!,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Assembly,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Tetris UltimateÊ,2014.0,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0,PS4
Afro Samurai 2,2015.0,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0,PS4
The Legend of Korra (2014),2014.0,Action,Activision,0.0,0.0,0.0,0.0,0.0,PS4
The Vanishing of Ethan CarterÊ,2015.0,Adventure,The Astronauts,0.0,0.0,0.0,0.0,0.0,PS4
Godzilla (2014),2014.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,PS4
Gran Turismo 7,2020.0,Racing,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Rollers of the Realm,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Q*bert: Rebooted,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
AirMech Arena,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Walking Dead: Season Three,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Toren,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Pneuma: Breath of Life,2016.0,Puzzle,PS4,0.0,0.0,0.0,0.0,0.0,PS4
#killallzombies,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Escapists,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Tomorrow Children,2016.0,Strategy,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Hollowpoint,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
In Space We Brawl,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Wild,2019.0,Adventure,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Alienation,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Ubusuna,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
PIX the CAT,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Game 4,2016.0,Strategy,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Titan Souls,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
OniKira: Demon Killer,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Moon Hunters,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Salt and Sanctuary,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Alone With You,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Tadeo Jones y el manuscrito perdido,2014.0,Adventure,Deep Silver,0.0,0.0,0.0,0.0,0.0,PS4
Invokers Tournament,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
OlliOlli 2: Welcome to Olliwood,2016.0,Sports,PQube,0.0,0.0,0.0,0.0,0.0,PS4
Pathologic,2015.0,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0,PS4
Soma,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Rebel Galaxy,2015.0,Role-Playing,Double Damage Games,0.0,0.0,0.0,0.0,0.0,PS4
I Am Bread,2016.0,Simulation,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Geometry Wars 3: Dimensions,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Primal Carnage: Extinction,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Assassin's Creed: Victory,2015.0,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0,PS4
Silent Hills,2020.0,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
The Banner Saga 2,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Enter the Gungeon,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
What Remains of Edith Finch,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Wattam,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Fat Princess Adventures,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Skytorn,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Kill Strain,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Drawn to Death,2016.0,Shooter,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Grow Home,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Hunger,2016.0,Action-Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Magic Duels: Origin,2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Shiftlings,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Oceanhorn: Monster of Uncharted Seas,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Beyond Eyes,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Inside My Radio,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Tembo the Badass Elephant,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Assassin's Creed Chronicles: Russia,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Assassin's Creed Chronicles: India,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Overlord: Fellowship of Evil,2015.0,Action,Codemasters,0.0,0.0,0.0,0.0,0.0,PS4
R.B.I. Baseball 15,2015.0,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0,PS4
Krinkle Krusher,2016.0,Strategy,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Wander,2015.0,Role-Playing,Wander MMO,0.0,0.0,0.0,0.0,0.0,PS4
Trans-Galactic Tournament,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
The Walking Dead: Michonne,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Unravel,2016.0,Platform,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Tachyon Project,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Final Fantasy VII Remake,2019.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
Ikenie to Yuki no Setsuna,2016.0,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
Atelier Sophie,2020.0,Role-Playing,Gust,0.0,0.0,0.0,0.0,0.0,PS4
Dengeki Bunko: Fighting Climax Ignition,2015.0,Action,Sega,0.0,0.0,0.0,0.0,0.0,PS4
World Soccer Winning Eleven 2015,2015.0,Action,Konami Digital Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Muse: Together Is the New Alone,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Cross Reverie,2017.0,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0,PS4
Airship Q,2019.0,Platform,Cygames,0.0,0.0,0.0,0.0,0.0,PS4
Killing Bites,2016.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Hatsune Miku: Project Diva Future Tone,2016.0,Music,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Tiny Troopers Joint Ops,2014.0,Action,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
The London Heist,2016.0,Shooter,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Risen 3 Enhanced Edition,2015.0,Role-Playing,Deep Silver,0.0,0.0,0.0,0.0,0.0,PS4
Air Conflicts: Pacific Carriers,2015.0,Simulation,Kalypso Media,0.0,0.0,0.0,0.0,0.0,PS4
God Wars: Beyond Time,2016.0,Role-Playing,Kadokawa Games,0.0,0.0,0.0,0.0,0.0,PS4
Hasbro Family Fun Pack,2015.0,Misc,Ubisoft,0.0,0.0,0.0,0.0,0.0,PS4
Professional Lumberjack 2016,2015.0,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,PS4
Alekhine's Gun,2016.0,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0,PS4
Kung Fu Panda: Showdown of Legendary Legends,2015.0,Action,Little Orbit,0.0,0.0,0.0,0.0,0.0,PS4
Read Only Memories,2016.0,Adventure,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Shakedown Hawaii,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Fallen Legion,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Amplitude (2016),2016.0,Misc,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Bloodborne: Complete Edition,2015.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Hardware: Rivals,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Jikkyou Powerful Pro Baseball Success Special,2016.0,Sports,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Qurare: Magic Library,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
World to the West,2017.0,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,PS4
The Binding of Isaac: Rebirth,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
De-formers,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Rock of Ages II: Bigger and Boulder,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Fe,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Days Gone,2019.0,Action-Adventure,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Berserk Musou,2016.0,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PS4
Ginger: Beyond the Crystal,2016.0,Platform,PQube,0.0,0.0,0.0,0.0,0.0,PS4
The Last of Us: Part II,2019.0,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Don Bradman Cricket 17,2016.0,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Ace Combat 7: Skies Unknown,2019.0,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0,PS4
Sakuna: Of Rice and Ruin,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Metro Exodus,2019.0,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0,PS4
Anthem,2019.0,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0,PS4
Moons Of Madness,2017.0,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Iron Harvest,2018.0,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
Biomutant,2018.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,PS4
Biomutant,2019.0,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,PS4
de Blob,2017.0,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0,PS4
Chaos on Deponia,2017.0,Adventure,Daedalic Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Code Vein,2018.0,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
Fallen Legion: Flames of Rebellion,2016.0,Role-Playing,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Radial G Racing Revolved,2017.0,Racing,Tammeka Games,0.0,0.0,0.0,0.0,0.0,PS4
The Mummy Demastered,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Project Nimbus: Code Mirai,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Battle Chef Brigade,2016.0,Action,PS4,0.0,0.0,0.0,0.0,0.0,PS4
Grand Theft Auto V,2014.0,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72,Xbox One
Call of Duty: Black Ops 3,2015.0,Shooter,Activision,4.63,2.04,0.02,0.68,7.37,Xbox One
Call of Duty: WWII,2017.0,Shooter,Activision,3.75,1.91,0.0,0.57,6.23,Xbox One
Red Dead Redemption 2,2018.0,Action-Adventure,Rockstar Games,3.76,1.47,0.0,0.54,5.77,Xbox One
MineCraft,2014.0,Misc,Microsoft Studios,3.23,1.71,0.0,0.49,5.43,Xbox One
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,3.25,1.49,0.01,0.48,5.22,Xbox One
Battlefield 1,2016.0,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13,Xbox One
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03,Xbox One
Halo 5: Guardians,2015.0,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92,Xbox One
Call of Duty: Infinite Warfare,2016.0,Shooter,Activision,2.91,1.44,0.0,0.44,4.79,Xbox One
Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,2.49,1.26,0.02,0.38,4.15,Xbox One
Forza Horizon 3,2016.0,Racing,Microsoft Studios,1.64,1.96,0.02,0.32,3.93,Xbox One
FIFA 17,2016.0,Sports,Electronic Arts,1.04,2.4,0.0,0.27,3.71,Xbox One
Gears of War: Ultimate Edition,2015.0,Shooter,Microsoft Studios,2.88,0.37,0.0,0.37,3.62,Xbox One
Assassin's Creed: Unity,2014.0,Action,Ubisoft,2.34,0.9,0.0,0.34,3.58,Xbox One
Halo: The Master Chief Collection,2014.0,Shooter,Microsoft Studios,2.06,1.04,0.03,0.31,3.44,Xbox One
Destiny,2014.0,Shooter,Activision,2.17,0.92,0.0,0.32,3.41,Xbox One
Gears of War 4,2016.0,Shooter,Microsoft Studios,2.17,0.9,0.0,0.32,3.38,Xbox One
FIFA 16,2015.0,Sports,EA Sports,0.92,2.1,0.0,0.24,3.25,Xbox One
FIFA 18,2017.0,Sports,EA Sports,0.98,1.92,0.0,0.23,3.14,Xbox One
Titanfall,2014.0,Shooter,Electronic Arts,1.88,0.91,0.04,0.28,3.11,Xbox One
Call of Duty: Ghosts,2013.0,Shooter,Activision,1.92,0.86,0.0,0.28,3.07,Xbox One
Overwatch,2016.0,Shooter,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72,Xbox One
Tom Clancy's Rainbow Six: Siege,2015.0,Shooter,Ubisoft,1.62,0.84,0.0,0.25,2.71,Xbox One
Tom Clancy's The Division,2016.0,Shooter,Ubisoft,1.54,0.82,0.0,0.24,2.59,Xbox One
Assassin's Creed Origins,2017.0,Action,Ubisoft,1.34,0.92,0.0,0.22,2.47,Xbox One
